Algorithm,epsilon,Avg_MSE,Avg_R2,StdDev_R2
DP-FunctionalMechanism,0.1,0.060426269635429145,0.9475961188054652,0.008577239666363808
DP-FunctionalMechanism,0.5,0.05340951013509794,0.9536813104521524,0.000526113505088356
DP-FunctionalMechanism,1.0,0.053482389400798545,0.9536181068752253,0.0002688243266166061
DP-FunctionalMechanism,2.0,0.05329198978488116,0.9537832284177634,0.00011078207354401574
DP-FunctionalMechanism,5.0,0.05332239266407046,0.9537568619238754,5.268004045167162e-05
DP-FunctionalMechanism,10.0,0.0533223450523481,0.9537569032145103,3.422155239368592e-05
DP-NoisyStats,0.1,0.05915041406037493,0.9487025876373145,0.005125504509426021
DP-NoisyStats,0.5,0.05354541756409481,0.95356344653625,0.0006474983201806276
DP-NoisyStats,1.0,0.053473858717774846,0.9536255049969757,0.0002624223177928775
DP-NoisyStats,2.0,0.05334265581013083,0.9537392889791085,0.00015116353141404547
DP-NoisyStats,5.0,0.05333705066089315,0.9537441499704705,5.150114790148703e-05
DP-NoisyStats,10.0,0.053315730172149765,0.9537626398816608,2.941645966648372e-05
DP-OutputPerturbation,0.1,258.274345716668,-222.9850020560737,123.97585832121631
DP-OutputPerturbation,0.5,10.586987950856098,-8.181424935411595,8.681333722533125
DP-OutputPerturbation,1.0,3.21394774859436,-1.7872535736349877,2.3627358968543244
DP-OutputPerturbation,2.0,0.7757333762322777,0.32725551433218325,0.5156580927221975
DP-OutputPerturbation,5.0,0.17278741668128783,0.8501524037424973,0.09372504626726225
DP-OutputPerturbation,10.0,0.08090320820194305,0.9298377653220952,0.018579356480619737
OLS (non-private),,0.053320311234485065,0.9537586670160874,0.0
