Algorithm,epsilon,MSE_test,R2_test,Runtime_sec,Weights
OLS (non-private),,100.65226434432446,0.9537586671956518,0.00045810011215507984,"[21.061358365139533, 3.0859811360467493, 1.4451365598081036, 1.5376057493827644, 1.265396745439842, 0.8108077544971898]"
DP-FunctionalMechanism,0.1,104.92641001752591,0.9517950532241604,0.00034169992431998253,"[21.92813340788189, 3.0777274467661107, 1.4558849595094183, -0.3708345045931393, -0.5626009409647749, -6.425633127246628]"
DP-NoisyStats,0.1,102.4143433118869,0.9529491386619682,0.00025960011407732964,"[24.03597547024946, 3.208584850521881, 1.3144109253585943, 2.172208091725119, 2.6382426939484516, 6.252565576008084]"
DP-OutputPerturbation,0.1,1064.4244260020241,0.5109856251275456,0.00025649997405707836,"[12.490024449918614, 6.027383380749824, 1.0485916696032818, -4.119979691078862, 1.27585542725324, -5.13257412253645]"
DP-FunctionalMechanism,0.5,100.61809791494001,0.9537743638244579,0.00046369992196559906,"[20.575634786120606, 3.0694923598789754, 1.4677202131730218, 0.9825084871719449, 0.7903882076745491, 0.6654543205170548]"
DP-NoisyStats,0.5,101.10387821336454,0.9535511882347623,0.0004667998291552067,"[21.101310579835687, 3.0877040719986137, 1.4429162316376565, 1.8852890644936595, 1.1524726935305614, 0.49184884935337714]"
DP-OutputPerturbation,0.5,20773.565523502,-8.543723265072819,0.00030360021628439426,"[20.922319399360788, 7.26923088924773, 2.9746296117085946, 2.2252004513499193, 2.786755018066749, 2.3567699575455627]"
DP-FunctionalMechanism,1.0,100.4140703712145,0.9538680974886942,0.0002586999908089638,"[21.091320679198077, 3.0878523907650393, 1.4422664036523498, 1.5065574372069177, 1.4599397131216474, 1.3255916305129973]"
DP-NoisyStats,1.0,100.23354822203596,0.953951032381745,0.0002492999192327261,"[19.89114575379496, 3.0506517898127807, 1.4850739484462299, 1.5488375690990988, 1.2829492497217692, 0.6096352251265299]"
DP-OutputPerturbation,1.0,7036.60760672855,-2.232735162750367,0.0002354998141527176,"[20.47127382852483, 2.3532693355305367, -0.13639443397575945, 0.4375500617958963, 0.7394602636690422, -0.3077601205133643]"
DP-FunctionalMechanism,2.0,100.70240268656713,0.9537356328030825,0.00034089991822838783,"[20.866843105038086, 3.0804111494654864, 1.4513296890840315, 1.6516427147623884, 1.2303318248754354, 0.786568448698663]"
DP-NoisyStats,2.0,100.71582202576043,0.9537294677343312,0.0003450000658631325,"[21.06281679998984, 3.085831052492172, 1.4449737657431512, 1.6250445154496094, 1.3131369012685328, 0.36791034196834527]"
DP-OutputPerturbation,2.0,598.0979853603726,0.7252237873551759,0.00036710011772811413,"[21.05740386098006, 3.141513053872154, 1.941119353250732, 1.1802710195001573, 0.9025094013071968, 0.3756618930137572]"
DP-FunctionalMechanism,5.0,100.5040809404699,0.9538267451285067,0.0002973999362438917,"[20.923648861423366, 3.0831982414795776, 1.448409758660296, 1.550689397266705, 1.336641281323214, 1.1969619994865917]"
DP-NoisyStats,5.0,100.55875439121856,0.953801627231278,0.00024119997397065163,"[20.805917381713513, 3.0780611533895277, 1.4541337003126957, 1.5181596785501559, 1.2477333247056086, 0.7862668518746219]"
DP-OutputPerturbation,5.0,107.666610946846,0.9505361591103627,0.0002445001155138016,"[21.087835413028778, 2.839118470738363, 1.5913640427465114, 1.5919331536270458, 1.1593389674212293, 0.6412220870726534]"
DP-FunctionalMechanism,10.0,100.67365354280665,0.9537488406403143,0.00024809991009533405,"[21.107269930322456, 3.087685170941466, 1.4432494993504525, 1.561624264436252, 1.2774143564242801, 0.8265558131704915]"
DP-NoisyStats,10.0,100.63983544331249,0.9537643772405459,0.0002484000287950039,"[21.03991307173895, 3.085301400479319, 1.445813092820711, 1.5454387962495024, 1.27726533180566, 0.7808421375248291]"
DP-OutputPerturbation,10.0,108.13886066695203,0.9503191996945319,0.00023699994198977947,"[21.252802248704107, 3.091916870175181, 1.5018184067243017, 1.7348416567051856, 1.2023151977840738, 0.8053444158788572]"
